Year,"Abundance, thousands","Age-0 recruits, thousands","Age-0 biomass, mt","Total biomass, mt","SSB, mt",Juveniles,Females,Males
Virgin,61765,61911,3487.010953,16048,8414,61911000,41373390.91,20391609.09
Initial,47364,61911,3487.010953,10098,4243,61911000,30398696.86,16965303.14
1986,52971,70464,3968.741255,11058,4552,70464000,34012581.66,18958418.34
1987,55829,65223,3673.552606,11649,5139,65223000,35973559.46,19855440.54
1988,55255,67859,3822.019936,12149,5434,67859000,36058170.87,19196829.13
1989,54882,78188,4403.77982,12534,5353,78188000,36134734.3,18747265.7
1990,57803,81835,4609.189665,12685,5264,81835000,37677332.6,20125667.4
1991,63482,82002,4618.5956,13616,5847,82002000,41254037,22227963
1992,65641,51819,2918.599612,12712,6135,51819000,41120297.25,24520702.75
1993,54971,57689,3249.215404,12444,5967,57689000,35673696.71,19297303.29
1994,52231,47647,2683.620211,11584,5668,47647000,33262098.36,18968901.64
1995,46479,62602,3525.930121,11494,5228,62602000,30495743.09,15983256.91
1996,49921,66133,3724.806503,11602,5127,66133000,32491897.92,17429102.08
1997,53970,53710,3025.106335,11567,5490,53710000,34687308.41,19282691.59
1998,49588,60939,3432.265033,11429,5260,60939000,32617422.12,16970577.88
1999,50044,51364,2892.972664,10750,5039,51364000,32095053.92,17948946.08
2000,45258,51211,2884.355251,9953,4542,51211000,29080798.84,16177201.16
2001,43488,61885,3485.546556,10101,4318,61885000,28385232.49,15102767.51
2002,48542,56503,3182.41637,10509,4713,56503000,31225801.49,17316198.51
2003,47329,60590,3412.608319,10510,4619,60590000,30801829.86,16527170.14
2004,48881,61132,3443.135365,10710,4711,61132000,31688823.53,17192176.47
2005,49247,52752,2971.148937,10296,4670,52752000,31397701.88,17849298.12
2006,45309,69213,3898.281228,10541,4365,69213000,29773017.92,15535982.08
2007,50838,53538,3015.418785,10252,4545,53538000,31929263.72,18908736.28
2008,47240,67815,3819.541726,10792,4572,67815000,30976346.01,16263653.99
2009,51936,63412,3571.551721,11109,4838,63412000,33335733.62,18600266.38
2010,52664,73807,4157.028919,11913,5093,73807000,34582098,18081902
2011,57741,64536,3634.858731,12193,5505,64536000,37141733.82,20599266.18
2012,54598,51662,2909.756907,11219,5270,51662000,34627878.47,19970121.53
2013,47186,39364,2217.09711,9730,4700,39364000,29519109.09,17666890.91
2014,39138,47376,2668.356688,9136,4142,47376000,25064708.76,14073291.24
2015,39258,72377,4076.487083,10028,3961,72377000,26127967.82,13130032.18
2016,50158,55282,3113.646033,10173,4459,55282000,31682009.86,18475990.14
2017,47390,49891,2810.00894,9828,4501,49891000,30393653.71,16996346.29
2018,43402,48469,2729.917687,9334,4225,48469000,27766681.47,15635318.53
2019,41527,67409,3796.674603,9996,4098,67409000,27450994.28,14076005.72
2020,49283,42229,2378.462398,9629,4516,42229000,30695934.6,18587065.4
2021,41860,47194,2658.105909,9335,4327,47194000,27127616.15,14732383.85
2022,39725,71420,4022.586007,9924,3948,71420000,26575715.61,13149284.39
2023,49558,56504,3182.472693,10060,4350,56504000,31345175.44,18212824.56
