Total catch,Total harvest,Exploitation rate
11506776,7158875,0.422674012
12816221,7595521,0.39003125
15731008,9174589,0.380089852
20723261,8272680,0.221268479
19742914,5050986,0.128332462
26733449,8450939,0.165019173
17939665,5559289,0.161080494
17573725,4661400,0.133859378
15685306,4279508,0.13836732
16969342,4799143,0.144367323
13814356,3149968,0.112394706
20233163,4285186,0.10335818
24054586,5434542,0.111217184
29969439,6263921,0.101829164
22520158,4948106,0.107748953
14616955,3047134,0.10153027
24679390,4866593,0.095388631
22684280,4607508,0.098604119
26504950,7605422,0.146876031
29745947,6314835,0.1036349
23204999,4965333,0.104564673
22576378,4634423,0.099784505
22827318,4673682,0.099491266
20559911,4511792,0.107597094
22455247,4117882,0.087980907
32553368,6123797,0.090505814
34404878,6911172,0.097386738
24065101,5340224,0.108968715
18948907,4054432,0.104558964
18557654,3999924,0.105429413
26304108,5139507,0.094413494
28684906,5692979,0.096078059
19900389,4801822,0.119925835
18094392,4020972,0.109144346
21615366,3871164,0.085706121
23348416,5203123,0.109493437
21305699,4667701,0.107394719
24349603,4703687,0.093219602
